		x-cp20936、简体中文(GB2312-80)  编码字符对照表
八进制	十进制	16进制	字符	说明
130376	45310	B0FE	剥	
130641	45473	B1A1	薄	
130642	45474	B1A2	雹	
130643	45475	B1A3	保	
130644	45476	B1A4	堡	
130645	45477	B1A5	饱	
130646	45478	B1A6	宝	
130647	45479	B1A7	抱	
130650	45480	B1A8	报	
130651	45481	B1A9	暴	
130652	45482	B1AA	豹	
130653	45483	B1AB	鲍	
130654	45484	B1AC	爆	
130655	45485	B1AD	杯	
130656	45486	B1AE	碑	
130657	45487	B1AF	悲	
130660	45488	B1B0	卑	
130661	45489	B1B1	北	
130662	45490	B1B2	辈	
130663	45491	B1B3	背	
130664	45492	B1B4	贝	
130665	45493	B1B5	钡	
130666	45494	B1B6	倍	
130667	45495	B1B7	狈	
130670	45496	B1B8	备	
130671	45497	B1B9	惫	
130672	45498	B1BA	焙	
130673	45499	B1BB	被	
130674	45500	B1BC	奔	
130675	45501	B1BD	苯	
130676	45502	B1BE	本	
130677	45503	B1BF	笨	
130700	45504	B1C0	崩	
130701	45505	B1C1	绷	
130702	45506	B1C2	甭	
130703	45507	B1C3	泵	
130704	45508	B1C4	蹦	
130705	45509	B1C5	迸	
130706	45510	B1C6	逼	
130707	45511	B1C7	鼻	
130710	45512	B1C8	比	
130711	45513	B1C9	鄙	
130712	45514	B1CA	笔	
130713	45515	B1CB	彼	
130714	45516	B1CC	碧	
130715	45517	B1CD	蓖	
130716	45518	B1CE	蔽	
130717	45519	B1CF	毕	
130720	45520	B1D0	毙	
130721	45521	B1D1	毖	
130722	45522	B1D2	币	
130723	45523	B1D3	庇	
130724	45524	B1D4	痹	
130725	45525	B1D5	闭	
130726	45526	B1D6	敝	
130727	45527	B1D7	弊	
130730	45528	B1D8	必	
130731	45529	B1D9	辟	
130732	45530	B1DA	壁	
130733	45531	B1DB	臂	
130734	45532	B1DC	避	
130735	45533	B1DD	陛	
130736	45534	B1DE	鞭	
130737	45535	B1DF	边	
130740	45536	B1E0	编	
130741	45537	B1E1	贬	
130742	45538	B1E2	扁	
130743	45539	B1E3	便	
130744	45540	B1E4	变	
130745	45541	B1E5	卞	
130746	45542	B1E6	辨	
130747	45543	B1E7	辩	
130750	45544	B1E8	辫	
130751	45545	B1E9	遍	
130752	45546	B1EA	标	
130753	45547	B1EB	彪	
130754	45548	B1EC	膘	
130755	45549	B1ED	表	
130756	45550	B1EE	鳖	
130757	45551	B1EF	憋	
130760	45552	B1F0	别	
130761	45553	B1F1	瘪	
130762	45554	B1F2	彬	
130763	45555	B1F3	斌	
130764	45556	B1F4	濒	
130765	45557	B1F5	滨	
130766	45558	B1F6	宾	
130767	45559	B1F7	摈	
130770	45560	B1F8	兵	
130771	45561	B1F9	冰	
130772	45562	B1FA	柄	
130773	45563	B1FB	丙	
130774	45564	B1FC	秉	
130775	45565	B1FD	饼	
130776	45566	B1FE	炳	
131241	45729	B2A1	病	
131242	45730	B2A2	并	
131243	45731	B2A3	玻	
131244	45732	B2A4	菠	
131245	45733	B2A5	播	
131246	45734	B2A6	拨	
131247	45735	B2A7	钵	
131250	45736	B2A8	波	
131251	45737	B2A9	博	
131252	45738	B2AA	勃	
131253	45739	B2AB	搏	
131254	45740	B2AC	铂	
131255	45741	B2AD	箔	
131256	45742	B2AE	伯	
131257	45743	B2AF	帛	
131260	45744	B2B0	舶	
131261	45745	B2B1	脖	
131262	45746	B2B2	膊	
131263	45747	B2B3	渤	
131264	45748	B2B4	泊	
131265	45749	B2B5	驳	
131266	45750	B2B6	捕	
131267	45751	B2B7	卜	
131270	45752	B2B8	哺	
131271	45753	B2B9	补	
131272	45754	B2BA	埠	
131273	45755	B2BB	不	
131274	45756	B2BC	布	
131275	45757	B2BD	步	
131276	45758	B2BE	簿	
131277	45759	B2BF	部	
131300	45760	B2C0	怖	
131301	45761	B2C1	擦	
131302	45762	B2C2	猜	
131303	45763	B2C3	裁	
131304	45764	B2C4	材	
131305	45765	B2C5	才	
131306	45766	B2C6	财	
131307	45767	B2C7	睬	
131310	45768	B2C8	踩	
131311	45769	B2C9	采	
131312	45770	B2CA	彩	
131313	45771	B2CB	菜	
131314	45772	B2CC	蔡	
131315	45773	B2CD	餐	
131316	45774	B2CE	参	
131317	45775	B2CF	蚕	
131320	45776	B2D0	残	
131321	45777	B2D1	惭	
131322	45778	B2D2	惨	
131323	45779	B2D3	灿	
131324	45780	B2D4	苍	
131325	45781	B2D5	舱	
131326	45782	B2D6	仓	
131327	45783	B2D7	沧	
131330	45784	B2D8	藏	
131331	45785	B2D9	操	
131332	45786	B2DA	糙	
131333	45787	B2DB	槽	
131334	45788	B2DC	曹	
131335	45789	B2DD	草	
131336	45790	B2DE	厕	
131337	45791	B2DF	策	
131340	45792	B2E0	侧	
131341	45793	B2E1	册	
131342	45794	B2E2	测	
131343	45795	B2E3	层	
131344	45796	B2E4	蹭	
131345	45797	B2E5	插	
131346	45798	B2E6	叉	
131347	45799	B2E7	茬	
131350	45800	B2E8	茶	
131351	45801	B2E9	查	
131352	45802	B2EA	碴	
131353	45803	B2EB	搽	
131354	45804	B2EC	察	
131355	45805	B2ED	岔	
131356	45806	B2EE	差	
131357	45807	B2EF	诧	
131360	45808	B2F0	拆	
131361	45809	B2F1	柴	
131362	45810	B2F2	豺	
131363	45811	B2F3	搀	
131364	45812	B2F4	掺	
131365	45813	B2F5	蝉	
131366	45814	B2F6	馋	
131367	45815	B2F7	谗	
131370	45816	B2F8	缠	
131371	45817	B2F9	铲	
131372	45818	B2FA	产	
131373	45819	B2FB	阐	
131374	45820	B2FC	颤	
131375	45821	B2FD	昌	
131376	45822	B2FE	猖	
131641	45985	B3A1	场	
131642	45986	B3A2	尝	
131643	45987	B3A3	常	
131644	45988	B3A4	长	
131645	45989	B3A5	偿	
131646	45990	B3A6	肠	
131647	45991	B3A7	厂	
131650	45992	B3A8	敞	
131651	45993	B3A9	畅	
131652	45994	B3AA	唱	
131653	45995	B3AB	倡	
131654	45996	B3AC	超	
131655	45997	B3AD	抄	
131656	45998	B3AE	钞	
131657	45999	B3AF	朝	
131660	46000	B3B0	嘲	
131661	46001	B3B1	潮	
131662	46002	B3B2	巢	
131663	46003	B3B3	吵	
131664	46004	B3B4	炒	
131665	46005	B3B5	车	
131666	46006	B3B6	扯	
131667	46007	B3B7	撤	
131670	46008	B3B8	掣	
131671	46009	B3B9	彻	
131672	46010	B3BA	澈	
131673	46011	B3BB	郴	
131674	46012	B3BC	臣	
131675	46013	B3BD	辰	
131676	46014	B3BE	尘	
131677	46015	B3BF	晨	
131700	46016	B3C0	忱	
131701	46017	B3C1	沉	
131702	46018	B3C2	陈	
131703	46019	B3C3	趁	
131704	46020	B3C4	衬	
131705	46021	B3C5	撑	
131706	46022	B3C6	称	
131707	46023	B3C7	城	
131710	46024	B3C8	橙	
131711	46025	B3C9	成	
131712	46026	B3CA	呈	
131713	46027	B3CB	乘	
131714	46028	B3CC	程	
131715	46029	B3CD	惩	
131716	46030	B3CE	澄	
131717	46031	B3CF	诚	
131720	46032	B3D0	承	
131721	46033	B3D1	逞	
131722	46034	B3D2	骋	
131723	46035	B3D3	秤	
131724	46036	B3D4	吃	
131725	46037	B3D5	痴	
131726	46038	B3D6	持	
131727	46039	B3D7	匙	
131730	46040	B3D8	池	
131731	46041	B3D9	迟	
131732	46042	B3DA	弛	
131733	46043	B3DB	驰	
131734	46044	B3DC	耻	
131735	46045	B3DD	齿	
131736	46046	B3DE	侈	
131737	46047	B3DF	尺	
131740	46048	B3E0	赤	
131741	46049	B3E1	翅	
131742	46050	B3E2	斥	
131743	46051	B3E3	炽	
131744	46052	B3E4	充	
131745	46053	B3E5	冲	
131746	46054	B3E6	虫	
131747	46055	B3E7	崇	
131750	46056	B3E8	宠	
131751	46057	B3E9	抽	
131752	46058	B3EA	酬	
131753	46059	B3EB	畴	
131754	46060	B3EC	踌	
131755	46061	B3ED	稠	
131756	46062	B3EE	愁	
131757	46063	B3EF	筹	
131760	46064	B3F0	仇	
131761	46065	B3F1	绸	
131762	46066	B3F2	瞅	
131763	46067	B3F3	丑	
131764	46068	B3F4	臭	
131765	46069	B3F5	初	
131766	46070	B3F6	出	
131767	46071	B3F7	橱	
131770	46072	B3F8	厨	
131771	46073	B3F9	躇	
131772	46074	B3FA	锄	
131773	46075	B3FB	雏	
131774	46076	B3FC	滁	
131775	46077	B3FD	除	
131776	46078	B3FE	楚	
132241	46241	B4A1	础	
132242	46242	B4A2	储	
132243	46243	B4A3	矗	
132244	46244	B4A4	搐	
132245	46245	B4A5	触	
132246	46246	B4A6	处	
132247	46247	B4A7	揣	
132250	46248	B4A8	川	
132251	46249	B4A9	穿	
132252	46250	B4AA	椽	
132253	46251	B4AB	传	
132254	46252	B4AC	船	
132255	46253	B4AD	喘	
132256	46254	B4AE	串	
132257	46255	B4AF	疮	
132260	46256	B4B0	窗	
132261	46257	B4B1	幢	
132262	46258	B4B2	床	
132263	46259	B4B3	闯	
132264	46260	B4B4	创	
132265	46261	B4B5	吹	
132266	46262	B4B6	炊	
132267	46263	B4B7	捶	
132270	46264	B4B8	锤	
132271	46265	B4B9	垂	
132272	46266	B4BA	春	
132273	46267	B4BB	椿	
132274	46268	B4BC	醇	
132275	46269	B4BD	唇	
132276	46270	B4BE	淳	
132277	46271	B4BF	纯	
132300	46272	B4C0	蠢	
132301	46273	B4C1	戳	
132302	46274	B4C2	绰	
132303	46275	B4C3	疵	
132304	46276	B4C4	茨	
132305	46277	B4C5	磁	
132306	46278	B4C6	雌	
132307	46279	B4C7	辞	
132310	46280	B4C8	慈	
132311	46281	B4C9	瓷	
132312	46282	B4CA	词	
132313	46283	B4CB	此	
132314	46284	B4CC	刺	
132315	46285	B4CD	赐	
132316	46286	B4CE	次	
132317	46287	B4CF	聪	
132320	46288	B4D0	葱	
132321	46289	B4D1	囱	
132322	46290	B4D2	匆	
132323	46291	B4D3	从	
132324	46292	B4D4	丛	
132325	46293	B4D5	凑	
132326	46294	B4D6	粗	
132327	46295	B4D7	醋	
132330	46296	B4D8	簇	
132331	46297	B4D9	促	
132332	46298	B4DA	蹿	
132333	46299	B4DB	篡	
132334	46300	B4DC	窜	
132335	46301	B4DD	摧	
132336	46302	B4DE	崔	
132337	46303	B4DF	催	
132340	46304	B4E0	脆	
132341	46305	B4E1	瘁	
132342	46306	B4E2	粹	
132343	46307	B4E3	淬	
132344	46308	B4E4	翠	
132345	46309	B4E5	村	
132346	46310	B4E6	存	
132347	46311	B4E7	寸	
132350	46312	B4E8	磋	
132351	46313	B4E9	撮	
132352	46314	B4EA	搓	
132353	46315	B4EB	措	
132354	46316	B4EC	挫	
132355	46317	B4ED	错	
132356	46318	B4EE	搭	
132357	46319	B4EF	达	
132360	46320	B4F0	答	
132361	46321	B4F1	瘩	
132362	46322	B4F2	打	
132363	46323	B4F3	大	
132364	46324	B4F4	呆	
132365	46325	B4F5	歹	
132366	46326	B4F6	傣	
132367	46327	B4F7	戴	
132370	46328	B4F8	带	
132371	46329	B4F9	殆	
132372	46330	B4FA	代	
132373	46331	B4FB	贷	
132374	46332	B4FC	袋	
132375	46333	B4FD	待	
132376	46334	B4FE	逮	
132641	46497	B5A1	怠	
132642	46498	B5A2	耽	
132643	46499	B5A3	担	
132644	46500	B5A4	丹	
132645	46501	B5A5	单	
132646	46502	B5A6	郸	
132647	46503	B5A7	掸	
132650	46504	B5A8	胆	
132651	46505	B5A9	旦	
132652	46506	B5AA	氮	
132653	46507	B5AB	但	
132654	46508	B5AC	惮	
132655	46509	B5AD	淡	
132656	46510	B5AE	诞	
132657	46511	B5AF	弹	
132660	46512	B5B0	蛋	
132661	46513	B5B1	当	
132662	46514	B5B2	挡	
132663	46515	B5B3	党	
132664	46516	B5B4	荡	
132665	46517	B5B5	档	
132666	46518	B5B6	刀	
132667	46519	B5B7	捣	
132670	46520	B5B8	蹈	
132671	46521	B5B9	倒	
132672	46522	B5BA	岛	
132673	46523	B5BB	祷	
132674	46524	B5BC	导	
132675	46525	B5BD	到	
132676	46526	B5BE	稻	
132677	46527	B5BF	悼	
132700	46528	B5C0	道	
132701	46529	B5C1	盗	
132702	46530	B5C2	德	
132703	46531	B5C3	得	
132704	46532	B5C4	的	
132705	46533	B5C5	蹬	
132706	46534	B5C6	灯	
132707	46535	B5C7	登	
132710	46536	B5C8	等	
132711	46537	B5C9	瞪	
132712	46538	B5CA	凳	
132713	46539	B5CB	邓	
132714	46540	B5CC	堤	
132715	46541	B5CD	低	
132716	46542	B5CE	滴	
132717	46543	B5CF	迪	
132720	46544	B5D0	敌	
132721	46545	B5D1	笛	
132722	46546	B5D2	狄	
132723	46547	B5D3	涤	
132724	46548	B5D4	翟	
132725	46549	B5D5	嫡	
132726	46550	B5D6	抵	
132727	46551	B5D7	底	
132730	46552	B5D8	地	
132731	46553	B5D9	蒂	
132732	46554	B5DA	第	
132733	46555	B5DB	帝	
132734	46556	B5DC	弟	
132735	46557	B5DD	递	
132736	46558	B5DE	缔	
132737	46559	B5DF	颠	
132740	46560	B5E0	掂	
132741	46561	B5E1	滇	
132742	46562	B5E2	碘	
132743	46563	B5E3	点	
132744	46564	B5E4	典	
132745	46565	B5E5	靛	
132746	46566	B5E6	垫	
132747	46567	B5E7	电	
132750	46568	B5E8	佃	
132751	46569	B5E9	甸	
132752	46570	B5EA	店	
132753	46571	B5EB	惦	
132754	46572	B5EC	奠	
132755	46573	B5ED	淀	
132756	46574	B5EE	殿	
132757	46575	B5EF	碉	
132760	46576	B5F0	叼	
132761	46577	B5F1	雕	
132762	46578	B5F2	凋	
132763	46579	B5F3	刁	
132764	46580	B5F4	掉	
132765	46581	B5F5	吊	
132766	46582	B5F6	钓	
132767	46583	B5F7	调	
132770	46584	B5F8	跌	
132771	46585	B5F9	爹	
132772	46586	B5FA	碟	
132773	46587	B5FB	蝶	
132774	46588	B5FC	迭	
132775	46589	B5FD	谍	
132776	46590	B5FE	叠	
133241	46753	B6A1	丁	
133242	46754	B6A2	盯	
133243	46755	B6A3	叮	
133244	46756	B6A4	钉	
133245	46757	B6A5	顶	
133246	46758	B6A6	鼎	
133247	46759	B6A7	锭	
133250	46760	B6A8	定	
133251	46761	B6A9	订	
133252	46762	B6AA	丢	
133253	46763	B6AB	东	
133254	46764	B6AC	冬	
133255	46765	B6AD	董	
133256	46766	B6AE	懂	
133257	46767	B6AF	动	
133260	46768	B6B0	栋	
133261	46769	B6B1	侗	
133262	46770	B6B2	恫	
133263	46771	B6B3	冻	
133264	46772	B6B4	洞	
133265	46773	B6B5	兜	
133266	46774	B6B6	抖	
133267	46775	B6B7	斗	
133270	46776	B6B8	陡	
133271	46777	B6B9	豆	
133272	46778	B6BA	逗	
133273	46779	B6BB	痘	
133274	46780	B6BC	都	
133275	46781	B6BD	督	
133276	46782	B6BE	毒	
133277	46783	B6BF	犊	
133300	46784	B6C0	独	
133301	46785	B6C1	读	
133302	46786	B6C2	堵	
133303	46787	B6C3	睹	
133304	46788	B6C4	赌	
133305	46789	B6C5	杜	
133306	46790	B6C6	镀	
133307	46791	B6C7	肚	
133310	46792	B6C8	度	
133311	46793	B6C9	渡	
133312	46794	B6CA	妒	
133313	46795	B6CB	端	
133314	46796	B6CC	短	
133315	46797	B6CD	锻	
133316	46798	B6CE	段	
133317	46799	B6CF	断	
133320	46800	B6D0	缎	
133321	46801	B6D1	堆	
133322	46802	B6D2	兑	
133323	46803	B6D3	队	
133324	46804	B6D4	对	
133325	46805	B6D5	墩	
133326	46806	B6D6	吨	
133327	46807	B6D7	蹲	
133330	46808	B6D8	敦	
133331	46809	B6D9	顿	
133332	46810	B6DA	囤	
133333	46811	B6DB	钝	
133334	46812	B6DC	盾	
133335	46813	B6DD	遁	
133336	46814	B6DE	掇	
133337	46815	B6DF	哆	
133340	46816	B6E0	多	
133341	46817	B6E1	夺	
133342	46818	B6E2	垛	
133343	46819	B6E3	躲	
133344	46820	B6E4	朵	
133345	46821	B6E5	跺	
133346	46822	B6E6	舵	
133347	46823	B6E7	剁	
133350	46824	B6E8	惰	
133351	46825	B6E9	堕	
133352	46826	B6EA	蛾	
133353	46827	B6EB	峨	
133354	46828	B6EC	鹅	
133355	46829	B6ED	俄	
133356	46830	B6EE	额	
133357	46831	B6EF	讹	
133360	46832	B6F0	娥	
133361	46833	B6F1	恶	
133362	46834	B6F2	厄	
133363	46835	B6F3	扼	
133364	46836	B6F4	遏	
133365	46837	B6F5	鄂	
133366	46838	B6F6	饿	
133367	46839	B6F7	恩	
133370	46840	B6F8	而	
133371	46841	B6F9	儿	
133372	46842	B6FA	耳	
133373	46843	B6FB	尔	
133374	46844	B6FC	饵	
133375	46845	B6FD	洱	
133376	46846	B6FE	二	
133641	47009	B7A1	贰	
133642	47010	B7A2	发	
133643	47011	B7A3	罚	
133644	47012	B7A4	筏	
133645	47013	B7A5	伐	
133646	47014	B7A6	乏	
133647	47015	B7A7	阀	
133650	47016	B7A8	法	
133651	47017	B7A9	珐	
133652	47018	B7AA	藩	
133653	47019	B7AB	帆	
133654	47020	B7AC	番	
133655	47021	B7AD	翻	
133656	47022	B7AE	樊	
133657	47023	B7AF	矾	
133660	47024	B7B0	钒	
133661	47025	B7B1	繁	
133662	47026	B7B2	凡	
133663	47027	B7B3	烦	
133664	47028	B7B4	反	
133665	47029	B7B5	返	
133666	47030	B7B6	范	
133667	47031	B7B7	贩	
133670	47032	B7B8	犯	
133671	47033	B7B9	饭	
133672	47034	B7BA	泛	
133673	47035	B7BB	坊	
133674	47036	B7BC	芳	
133675	47037	B7BD	方	
133676	47038	B7BE	肪	
133677	47039	B7BF	房	
133700	47040	B7C0	防	
133701	47041	B7C1	妨	
133702	47042	B7C2	仿	
133703	47043	B7C3	访	
133704	47044	B7C4	纺	
133705	47045	B7C5	放	
133706	47046	B7C6	菲	
133707	47047	B7C7	非	
133710	47048	B7C8	啡	
133711	47049	B7C9	飞	
133712	47050	B7CA	肥	
133713	47051	B7CB	匪	
133714	47052	B7CC	诽	
133715	47053	B7CD	吠	
133716	47054	B7CE	肺	
133717	47055	B7CF	废	
133720	47056	B7D0	沸	
133721	47057	B7D1	费	
133722	47058	B7D2	芬	
133723	47059	B7D3	酚	
133724	47060	B7D4	吩	
133725	47061	B7D5	氛	
133726	47062	B7D6	分	
133727	47063	B7D7	纷	
133730	47064	B7D8	坟	
133731	47065	B7D9	焚	
133732	47066	B7DA	汾	
133733	47067	B7DB	粉	
133734	47068	B7DC	奋	
133735	47069	B7DD	份	
133736	47070	B7DE	忿	
133737	47071	B7DF	愤	
133740	47072	B7E0	粪	
133741	47073	B7E1	丰	
133742	47074	B7E2	封	
133743	47075	B7E3	枫	
133744	47076	B7E4	蜂	
133745	47077	B7E5	峰	
133746	47078	B7E6	锋	
133747	47079	B7E7	风	
133750	47080	B7E8	疯	
133751	47081	B7E9	烽	
133752	47082	B7EA	逢	
133753	47083	B7EB	冯	
133754	47084	B7EC	缝	
133755	47085	B7ED	讽	
133756	47086	B7EE	奉	
133757	47087	B7EF	凤	
133760	47088	B7F0	佛	
133761	47089	B7F1	否	
133762	47090	B7F2	夫	
133763	47091	B7F3	敷	
133764	47092	B7F4	肤	
133765	47093	B7F5	孵	
133766	47094	B7F6	扶	
133767	47095	B7F7	拂	
133770	47096	B7F8	辐	
133771	47097	B7F9	幅	
133772	47098	B7FA	氟	
133773	47099	B7FB	符	
133774	47100	B7FC	伏	
133775	47101	B7FD	俘	
133776	47102	B7FE	服	
134241	47265	B8A1	浮	
134242	47266	B8A2	涪	
134243	47267	B8A3	福	
134244	47268	B8A4	袱	
134245	47269	B8A5	弗	
134246	47270	B8A6	甫	
134247	47271	B8A7	抚	
134250	47272	B8A8	辅	
134251	47273	B8A9	俯	
134252	47274	B8AA	釜	
134253	47275	B8AB	斧	
134254	47276	B8AC	脯	
134255	47277	B8AD	腑	
134256	47278	B8AE	府	
134257	47279	B8AF	腐	
134260	47280	B8B0	赴	
134261	47281	B8B1	副	
134262	47282	B8B2	覆	
134263	47283	B8B3	赋	
134264	47284	B8B4	复	
134265	47285	B8B5	傅	
134266	47286	B8B6	付	
134267	47287	B8B7	阜	
134270	47288	B8B8	父	
134271	47289	B8B9	腹	
134272	47290	B8BA	负	
134273	47291	B8BB	富	
134274	47292	B8BC	讣	
134275	47293	B8BD	附	
134276	47294	B8BE	妇	
134277	47295	B8BF	缚	
134300	47296	B8C0	咐	
134301	47297	B8C1	噶	
134302	47298	B8C2	嘎	
134303	47299	B8C3	该	
134304	47300	B8C4	改	
134305	47301	B8C5	概	
134306	47302	B8C6	钙	
134307	47303	B8C7	盖	
134310	47304	B8C8	溉	
134311	47305	B8C9	干	
134312	47306	B8CA	甘	
134313	47307	B8CB	杆	
134314	47308	B8CC	柑	
134315	47309	B8CD	竿	
134316	47310	B8CE	肝	
134317	47311	B8CF	赶	
134320	47312	B8D0	感	
134321	47313	B8D1	秆	
134322	47314	B8D2	敢	
134323	47315	B8D3	赣	
134324	47316	B8D4	冈	
134325	47317	B8D5	刚	
134326	47318	B8D6	钢	
134327	47319	B8D7	缸	
134330	47320	B8D8	肛	
134331	47321	B8D9	纲	
134332	47322	B8DA	岗	
134333	47323	B8DB	港	
134334	47324	B8DC	杠	
134335	47325	B8DD	篙	
134336	47326	B8DE	皋	
134337	47327	B8DF	高	
134340	47328	B8E0	膏	
134341	47329	B8E1	羔	
134342	47330	B8E2	糕	
134343	47331	B8E3	搞	
134344	47332	B8E4	镐	
134345	47333	B8E5	稿	
134346	47334	B8E6	告	
134347	47335	B8E7	哥	
134350	47336	B8E8	歌	
134351	47337	B8E9	搁	
134352	47338	B8EA	戈	
134353	47339	B8EB	鸽	
134354	47340	B8EC	胳	
134355	47341	B8ED	疙	
134356	47342	B8EE	割	
134357	47343	B8EF	革	
134360	47344	B8F0	葛	
134361	47345	B8F1	格	
134362	47346	B8F2	蛤	
134363	47347	B8F3	阁	
134364	47348	B8F4	隔	
134365	47349	B8F5	铬	
134366	47350	B8F6	个	
134367	47351	B8F7	各	
134370	47352	B8F8	给	
134371	47353	B8F9	根	
134372	47354	B8FA	跟	
134373	47355	B8FB	耕	
134374	47356	B8FC	更	
134375	47357	B8FD	庚	
134376	47358	B8FE	羹	
134641	47521	B9A1	埂	
134642	47522	B9A2	耿	
134643	47523	B9A3	梗	
134644	47524	B9A4	工	
134645	47525	B9A5	攻	
134646	47526	B9A6	功	
134647	47527	B9A7	恭	
134650	47528	B9A8	龚	
134651	47529	B9A9	供	
134652	47530	B9AA	躬	
134653	47531	B9AB	公	
134654	47532	B9AC	宫	
134655	47533	B9AD	弓	
134656	47534	B9AE	巩	
134657	47535	B9AF	汞	
134660	47536	B9B0	拱	
134661	47537	B9B1	贡	
134662	47538	B9B2	共	
134663	47539	B9B3	钩	
134664	47540	B9B4	勾	
134665	47541	B9B5	沟	
134666	47542	B9B6	苟	
134667	47543	B9B7	狗	
134670	47544	B9B8	垢	
134671	47545	B9B9	构	
134672	47546	B9BA	购	
134673	47547	B9BB	够	
134674	47548	B9BC	辜	
134675	47549	B9BD	菇	
134676	47550	B9BE	咕	
134677	47551	B9BF	箍	
134700	47552	B9C0	估	
134701	47553	B9C1	沽	
134702	47554	B9C2	孤	
134703	47555	B9C3	姑	
134704	47556	B9C4	鼓	
134705	47557	B9C5	古	
134706	47558	B9C6	蛊	
134707	47559	B9C7	骨	
134710	47560	B9C8	谷	
134711	47561	B9C9	股	
134712	47562	B9CA	故	
134713	47563	B9CB	顾	
134714	47564	B9CC	固	
134715	47565	B9CD	雇	
134716	47566	B9CE	刮	
134717	47567	B9CF	瓜	
134720	47568	B9D0	剐	
134721	47569	B9D1	寡	
134722	47570	B9D2	挂	
134723	47571	B9D3	褂	
134724	47572	B9D4	乖	
134725	47573	B9D5	拐	
134726	47574	B9D6	怪	
134727	47575	B9D7	棺	
134730	47576	B9D8	关	
134731	47577	B9D9	官	
134732	47578	B9DA	冠	
134733	47579	B9DB	观	
134734	47580	B9DC	管	
134735	47581	B9DD	馆	
134736	47582	B9DE	罐	
134737	47583	B9DF	惯	
134740	47584	B9E0	灌	
134741	47585	B9E1	贯	
134742	47586	B9E2	光	
134743	47587	B9E3	广	
134744	47588	B9E4	逛	
134745	47589	B9E5	瑰	
134746	47590	B9E6	规	
134747	47591	B9E7	圭	
134750	47592	B9E8	硅	
134751	47593	B9E9	归	
134752	47594	B9EA	龟	
134753	47595	B9EB	闺	
134754	47596	B9EC	轨	
134755	47597	B9ED	鬼	
134756	47598	B9EE	诡	
134757	47599	B9EF	癸	
134760	47600	B9F0	桂	
134761	47601	B9F1	柜	
134762	47602	B9F2	跪	
134763	47603	B9F3	贵	
134764	47604	B9F4	刽	
134765	47605	B9F5	辊	
134766	47606	B9F6	滚	
134767	47607	B9F7	棍	
134770	47608	B9F8	锅	
134771	47609	B9F9	郭	
134772	47610	B9FA	国	
134773	47611	B9FB	果	
134774	47612	B9FC	裹	
134775	47613	B9FD	过	
134776	47614	B9FE	哈	
135241	47777	BAA1	骸	
135242	47778	BAA2	孩	
135243	47779	BAA3	海	
135244	47780	BAA4	氦	
135245	47781	BAA5	亥	
135246	47782	BAA6	害	
135247	47783	BAA7	骇	
135250	47784	BAA8	酣	
135251	47785	BAA9	憨	
135252	47786	BAAA	邯	
135253	47787	BAAB	韩	
135254	47788	BAAC	含	
135255	47789	BAAD	涵	
135256	47790	BAAE	寒	
135257	47791	BAAF	函	
135260	47792	BAB0	喊	
135261	47793	BAB1	罕	
135262	47794	BAB2	翰	
135263	47795	BAB3	撼	
135264	47796	BAB4	捍	
135265	47797	BAB5	旱	
135266	47798	BAB6	憾	
135267	47799	BAB7	悍	
135270	47800	BAB8	焊	
135271	47801	BAB9	汗	
135272	47802	BABA	汉	
135273	47803	BABB	夯	
135274	47804	BABC	杭	
135275	47805	BABD	航	
135276	47806	BABE	壕	
135277	47807	BABF	嚎	
135300	47808	BAC0	豪	
135301	47809	BAC1	毫	
135302	47810	BAC2	郝	
135303	47811	BAC3	好	
135304	47812	BAC4	耗	
135305	47813	BAC5	号	
135306	47814	BAC6	浩	
135307	47815	BAC7	呵	
135310	47816	BAC8	喝	
135311	47817	BAC9	荷	
135312	47818	BACA	菏	
135313	47819	BACB	核	
135314	47820	BACC	禾	
135315	47821	BACD	和	
135316	47822	BACE	何	
135317	47823	BACF	合	
135320	47824	BAD0	盒	
135321	47825	BAD1	貉	
135322	47826	BAD2	阂	
135323	47827	BAD3	河	
135324	47828	BAD4	涸	
135325	47829	BAD5	赫	
135326	47830	BAD6	褐	
135327	47831	BAD7	鹤	
135330	47832	BAD8	贺	
135331	47833	BAD9	嘿	
135332	47834	BADA	黑	
135333	47835	BADB	痕	
135334	47836	BADC	很	
135335	47837	BADD	狠	
135336	47838	BADE	恨	
135337	47839	BADF	哼	
135340	47840	BAE0	亨	
135341	47841	BAE1	横	
135342	47842	BAE2	衡	
135343	47843	BAE3	恒	
135344	47844	BAE4	轰	
135345	47845	BAE5	哄	
135346	47846	BAE6	烘	
135347	47847	BAE7	虹	
135350	47848	BAE8	鸿	
135351	47849	BAE9	洪	
135352	47850	BAEA	宏	
135353	47851	BAEB	弘	
135354	47852	BAEC	红	
135355	47853	BAED	喉	
135356	47854	BAEE	侯	
135357	47855	BAEF	猴	
135360	47856	BAF0	吼	
135361	47857	BAF1	厚	
135362	47858	BAF2	候	
135363	47859	BAF3	后	
135364	47860	BAF4	呼	
135365	47861	BAF5	乎	
135366	47862	BAF6	忽	
135367	47863	BAF7	瑚	
135370	47864	BAF8	壶	
135371	47865	BAF9	葫	
135372	47866	BAFA	胡	
135373	47867	BAFB	蝴	
135374	47868	BAFC	狐	
135375	47869	BAFD	糊	
135376	47870	BAFE	湖	
135641	48033	BBA1	弧	
135642	48034	BBA2	虎	
